1,EMAE,El Estimador Mensual de Actividad Económica (EMAE) refleja la evolución mensual de la actividad económica del conjunto de los sectores productivos a nivel nacional.  FUENTE: INDEC
2,A -  Agricultura, ganadería, caza y silvicultura ,EMAE CATEGORIA A. FUENTE: INDEC
3,B - Pesca,EMAE CATEGORIA B. FUENTE: INDEC
4,C - Explotación de minas y canteras,EMAE CATEGORIA C. FUENTE: INDEC
5,D - Industria manufacturera,EMAE CATEGORIA D. FUENTE: INDEC
6,E - Electricidad, gas y agua,EMAE CATEGORIA E. FUENTE: INDEC
7,F - Construcción,EMAE CATEGORIA F. FUENTE: INDEC
8,G - Comercio mayorista, minorista y reparaciones,EMAE CATEGORIA G. FUENTE: INDEC
9,H - Hoteles y restaurantes,EMAE CATEGORIA H. FUENTE: INDEC
10,I - Transporte y comunicaciones,EMAE CATEGORIA I. FUENTE: INDEC
11,J - Intermediación financiera,EMAE CATEGORIA J. FUENTE: INDEC
12,K - Actividades inmobiliarias, empresariales y de alquiler,EMAE CATEGORIA K. FUENTE: INDEC
13,L - Administración pública y defensa; planes de seguridad social de afiliación obligatoria,EMAE CATEGORIA L. FUENTE: INDEC
14,M - Enseñanza,EMAE CATEGORIA M. FUENTE: INDEC
15,N - Servicios sociales y de salud,EMAE CATEGORIA N. FUENTE: INDEC
16,O - Otras actividades de servicios comunitarias, sociales y personales,EMAE CATEGORIA O. FUENTE: INDEC
17,Produccion Nac Automóviles,Vehículos fabricados en el país, salvo los de uso comercial como pick ups o camiones. FUENTE: ADEFA
18,Expo_Automóviles,Exportaciones (en unidades) de vehículos fabricados en el país, salvo los de uso comercial. FUENTE: ADEFA
19,Ventas a Concesionarios,Ventas mayoristas de vehículos desde terminales o importadoras hacia los concesionarios (en unidades). FUENTE: ADEFA
20,Ventas a Concesionarios Vehic. Nac,Ventas mayoristas de vehículos argentinos, desde terminales fabricantes hacia los concesionarios (en unidades).. FUENTE: ADEFA
21,Cemento,Despachos de cemento Portland a nivel nacional de las cuatro grandes empresas: Loma Negra, Holcim, Cementos Avellaneda y PCR. FUENTE: Asociacion de Fabricantes de Cemento Portland (AFCP).
22,Prod. Hierro Prim,Datos en miles de toneladas de todas las empresas siderúrgicas que producen acero en el país. FUENTE: Camara Argentina del Acero CAA.
23,Prod. Acero Crudo,Datos en miles de toneladas de todas las empresas siderúrgicas que producen acero en el país. FUENTE: Camara Argentina del Acero CAA.
24,Prod. Total Laminados en calient,Datos en miles de toneladas de todas las empresas siderúrgicas que producen acero en el país. FUENTE: Camara Argentina del Acero CAA.
25,IPI General,Indice de Produccion Industrial general y por rama de actividad. FUENTE: FIEL.
